"Registry name","Name","Type","Rarity","ID"
"cofh_core:holding","enchantment.cofh_core.holding","VANISHABLE","COMMON (10)",40
"farmersdelight:backstabbing","enchantment.farmersdelight.backstabbing","knife","UNCOMMON (5)",39
"minecraft:aqua_affinity","enchantment.minecraft.aqua_affinity","ARMOR_HEAD","RARE (2)",6
"minecraft:bane_of_arthropods","enchantment.minecraft.bane_of_arthropods","WEAPON","UNCOMMON (5)",15
"minecraft:binding_curse","enchantment.minecraft.binding_curse","WEARABLE","VERY_RARE (1)",10
"minecraft:blast_protection","enchantment.minecraft.blast_protection","ARMOR","RARE (2)",3
"minecraft:channeling","enchantment.minecraft.channeling","TRIDENT","VERY_RARE (1)",33
"minecraft:depth_strider","enchantment.minecraft.depth_strider","ARMOR_FEET","RARE (2)",8
"minecraft:efficiency","enchantment.minecraft.efficiency","DIGGER","COMMON (10)",20
"minecraft:feather_falling","enchantment.minecraft.feather_falling","ARMOR_FEET","UNCOMMON (5)",2
"minecraft:fire_aspect","enchantment.minecraft.fire_aspect","WEAPON","RARE (2)",17
"minecraft:fire_protection","enchantment.minecraft.fire_protection","ARMOR","UNCOMMON (5)",1
"minecraft:flame","enchantment.minecraft.flame","BOW","RARE (2)",26
"minecraft:fortune","enchantment.minecraft.fortune","DIGGER","RARE (2)",23
"minecraft:frost_walker","enchantment.minecraft.frost_walker","ARMOR_FEET","RARE (2)",9
"minecraft:impaling","enchantment.minecraft.impaling","TRIDENT","RARE (2)",31
"minecraft:infinity","enchantment.minecraft.infinity","BOW","VERY_RARE (1)",27
"minecraft:knockback","enchantment.minecraft.knockback","WEAPON","UNCOMMON (5)",16
"minecraft:looting","enchantment.minecraft.looting","WEAPON","RARE (2)",18
"minecraft:loyalty","enchantment.minecraft.loyalty","TRIDENT","UNCOMMON (5)",30
"minecraft:luck_of_the_sea","enchantment.minecraft.luck_of_the_sea","FISHING_ROD","RARE (2)",28
"minecraft:lure","enchantment.minecraft.lure","FISHING_ROD","RARE (2)",29
"minecraft:mending","enchantment.minecraft.mending","BREAKABLE","RARE (2)",37
"minecraft:multishot","enchantment.minecraft.multishot","CROSSBOW","RARE (2)",34
"minecraft:piercing","enchantment.minecraft.piercing","CROSSBOW","COMMON (10)",36
"minecraft:power","enchantment.minecraft.power","BOW","COMMON (10)",24
"minecraft:projectile_protection","enchantment.minecraft.projectile_protection","ARMOR","UNCOMMON (5)",4
"minecraft:protection","enchantment.minecraft.protection","ARMOR","COMMON (10)",0
"minecraft:punch","enchantment.minecraft.punch","BOW","RARE (2)",25
"minecraft:quick_charge","enchantment.minecraft.quick_charge","CROSSBOW","UNCOMMON (5)",35
"minecraft:respiration","enchantment.minecraft.respiration","ARMOR_HEAD","RARE (2)",5
"minecraft:riptide","enchantment.minecraft.riptide","TRIDENT","RARE (2)",32
"minecraft:sharpness","enchantment.minecraft.sharpness","WEAPON","COMMON (10)",13
"minecraft:silk_touch","enchantment.minecraft.silk_touch","DIGGER","VERY_RARE (1)",21
"minecraft:smite","enchantment.minecraft.smite","WEAPON","UNCOMMON (5)",14
"minecraft:soul_speed","enchantment.minecraft.soul_speed","ARMOR_FEET","VERY_RARE (1)",11
"minecraft:sweeping","enchantment.minecraft.sweeping","WEAPON","RARE (2)",19
"minecraft:swift_sneak","enchantment.minecraft.swift_sneak","ARMOR_LEGS","VERY_RARE (1)",12
"minecraft:thorns","enchantment.minecraft.thorns","ARMOR_CHEST","VERY_RARE (1)",7
"minecraft:unbreaking","enchantment.minecraft.unbreaking","BREAKABLE","UNCOMMON (5)",22
"minecraft:vanishing_curse","enchantment.minecraft.vanishing_curse","VANISHABLE","VERY_RARE (1)",38
"supplementaries:stasis","enchantment.supplementaries.stasis","CROSSBOW","VERY_RARE (1)",41
